goods_code_6,Description_6,indent,CODE_2,CODE_4,CODE_6,CODE_8,CODE_10,CODE_14
0101210000 10,Horses,"- ",01,01,21,00,00,10
0101210000 80,Pure-bred breeding animals,"- - ",01,01,21,00,00,80
0101290000 80,Other,"- - ",01,01,29,00,00,80
0101300000 80,Asses,"- ",01,01,30,00,00,80
0101900000 80,Other,"- ",01,01,90,00,00,80
0102210000 10,Cattle,"- ",01,02,21,00,00,10
0102210000 80,Pure-bred breeding animals,"- - ",01,02,21,00,00,80
0102290000 80,Other,"- - ",01,02,29,00,00,80
0102310000 10,Buffalo,"- ",01,02,31,00,00,10
0102310000 80,Pure-bred breeding animals,"- - ",01,02,31,00,00,80
0102390000 80,Other,"- - ",01,02,39,00,00,80
0102900000 80,Other,"- ",01,02,90,00,00,80
0103100000 80,Pure-bred breeding animals,"- ",01,03,10,00,00,80
0103910000 10,Other,"- ",01,03,91,00,00,10
0103910000 80,Weighing less than 50|kg,"- - ",01,03,91,00,00,80
0103920000 80,Weighing 50|kg or more,"- - ",01,03,92,00,00,80
0104100000 80,Sheep,"- ",01,04,10,00,00,80
0104200000 80,Goats,"- ",01,04,20,00,00,80
0105110000 10,Weighing not more than 185|g,"- ",01,05,11,00,00,10
0105110000 80,Fowls of the species Gallus domesticus,"- - ",01,05,11,00,00,80
0105120000 80,Turkeys,"- - ",01,05,12,00,00,80
0105130000 80,Ducks,"- - ",01,05,13,00,00,80
0105140000 80,Geese,"- - ",01,05,14,00,00,80
0105150000 80,Guinea fowls,"- - ",01,05,15,00,00,80
0105940000 10,Other,"- ",01,05,94,00,00,10
0105940000 80,Fowls of the species Gallus domesticus,"- - ",01,05,94,00,00,80
0105990000 80,Other,"- - ",01,05,99,00,00,80
0106110000 10,Mammals,"- ",01,06,11,00,00,10
0106110000 80,Primates,"- - ",01,06,11,00,00,80
0106120000 80,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","- - ",01,06,12,00,00,80
0106130000 80,Camels and other camelids (Camelidae),"- - ",01,06,13,00,00,80
0106140000 80,Rabbits and hares,"- - ",01,06,14,00,00,80
0106190000 80,Other,"- - ",01,06,19,00,00,80
0106200000 80,Reptiles (including snakes and turtles),"- ",01,06,20,00,00,80
0106310000 10,Birds,"- ",01,06,31,00,00,10
0106310000 80,Birds of prey,"- - ",01,06,31,00,00,80
0106320000 80,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)","- - ",01,06,32,00,00,80
0106330000 80,Ostriches; emus (Dromaius novaehollandiae),"- - ",01,06,33,00,00,80
0106390000 80,Other,"- - ",01,06,39,00,00,80
0106410000 10,Insects,"- ",01,06,41,00,00,10
0106410000 80,Bees,"- - ",01,06,41,00,00,80
0106490000 80,Other,"- - ",01,06,49,00,00,80
0106900000 80,Other,"- ",01,06,90,00,00,80
0201100000 80,Carcases and half-carcases,"- ",02,01,10,00,00,80
0201200000 80,Other cuts with bone in,"- ",02,01,20,00,00,80
0201300000 80,Boneless,"- ",02,01,30,00,00,80
0202100000 80,Carcases and half-carcases,"- ",02,02,10,00,00,80
0202200000 80,Other cuts with bone in,"- ",02,02,20,00,00,80
0202300000 80,Boneless,"- ",02,02,30,00,00,80
0203110000 10,Fresh or chilled,"- ",02,03,11,00,00,10
0203110000 80,Carcases and half-carcases,"- - ",02,03,11,00,00,80
0203120000 80,"Hams, shoulders and cuts thereof, with bone in","- - ",02,03,12,00,00,80
0203190000 80,Other,"- - ",02,03,19,00,00,80
0203210000 10,Frozen,"- ",02,03,21,00,00,10
0203210000 80,Carcases and half-carcases,"- - ",02,03,21,00,00,80
0203220000 80,"Hams, shoulders and cuts thereof, with bone in","- - ",02,03,22,00,00,80
0203290000 80,Other,"- - ",02,03,29,00,00,80
0204100000 80,"Carcases and half-carcases of lamb, fresh or chilled","- ",02,04,10,00,00,80
0204210000 10,"Other meat of sheep, fresh or chilled","- ",02,04,21,00,00,10
0204210000 80,Carcases and half-carcases,"- - ",02,04,21,00,00,80
0204220000 80,Other cuts with bone in,"- - ",02,04,22,00,00,80
0204230000 80,Boneless,"- - ",02,04,23,00,00,80
0204300000 80,"Carcases and half-carcases of lamb, frozen","- ",02,04,30,00,00,80
0204410000 10,"Other meat of sheep, frozen","- ",02,04,41,00,00,10
0204410000 80,Carcases and half-carcases,"- - ",02,04,41,00,00,80
0204420000 80,Other cuts with bone in,"- - ",02,04,42,00,00,80
0204430000 80,Boneless,"- - ",02,04,43,00,00,80
0204500000 80,Meat of goats,"- ",02,04,50,00,00,80
0206100000 80,"Of bovine animals, fresh or chilled","- ",02,06,10,00,00,80
0206210000 10,"Of bovine animals, frozen","- ",02,06,21,00,00,10
0206210000 80,Tongues,"- - ",02,06,21,00,00,80
0206220000 80,Livers,"- - ",02,06,22,00,00,80
0206290000 80,Other,"- - ",02,06,29,00,00,80
0206300000 80,"Of swine, fresh or chilled","- ",02,06,30,00,00,80
0206410000 10,"Of swine, frozen","- ",02,06,41,00,00,10
0206410000 80,Livers,"- - ",02,06,41,00,00,80
0206490000 80,Other,"- - ",02,06,49,00,00,80
0206800000 80,"Other, fresh or chilled","- ",02,06,80,00,00,80
0206900000 80,"Other, frozen","- ",02,06,90,00,00,80
0207110000 10,Of fowls of the species Gallus domesticus,"- ",02,07,11,00,00,10
0207110000 80,"Not cut in pieces, fresh or chilled","- - ",02,07,11,00,00,80
0207120000 80,"Not cut in pieces, frozen","- - ",02,07,12,00,00,80
0207130000 80,"Cuts and offal, fresh or chilled","- - ",02,07,13,00,00,80
0207140000 80,"Cuts and offal, frozen","- - ",02,07,14,00,00,80
0207240000 10,Of turkeys,"- ",02,07,24,00,00,10
0207240000 80,"Not cut in pieces, fresh or chilled","- - ",02,07,24,00,00,80
0207250000 80,"Not cut in pieces, frozen","- - ",02,07,25,00,00,80
0207260000 80,"Cuts and offal, fresh or chilled","- - ",02,07,26,00,00,80
0207270000 80,"Cuts and offal, frozen","- - ",02,07,27,00,00,80
0207410000 10,Of ducks,"- ",02,07,41,00,00,10
0207410000 80,"Not cut in pieces, fresh or chilled","- - ",02,07,41,00,00,80
0207420000 80,"Not cut in pieces, frozen","- - ",02,07,42,00,00,80
0207430000 80,"Fatty livers, fresh or chilled","- - ",02,07,43,00,00,80
0207440000 80,"Other, fresh or chilled","- - ",02,07,44,00,00,80
0207450000 80,"Other, frozen","- - ",02,07,45,00,00,80
